CA8907,中国国航,19:10,--,--,T3,20:35,--,2018-10-11,
G54191,华夏航空,19:10,--,--,T3,20:35,--,2018-10-11,
SC8907,山东航空,19:10,--,--,T3,20:35,--,2018-10-11,
NZ3934,新西兰航空,19:10,--,--,T3,20:35,--,2018-10-11,
ZH4619,深圳航空,19:10,--,--,T3,20:35,--,2018-10-11,
HU7104,海南航空,19:50,--,--,T1,21:20,--,2018-10-11,
CA8901,中国国航,20:05,--,--,T3,21:30,--,2018-10-11,
SC8901,山东航空,20:05,--,--,T3,21:30,--,2018-10-11,
G54185,华夏航空,20:05,--,--,T3,21:30,--,2018-10-11,
ZH4615,深圳航空,20:05,--,--,T3,21:30,--,2018-10-11,
NZ3928,新西兰航空,20:05,--,--,T3,21:30,--,2018-10-11,
CZ6127,南方航空,20:35,--,--,T2,22:10,--,2018-10-11,
MF1808,厦门航空,20:35,--,--,T2,22:10,--,2018-10-11,
CZ6131,南方航空,21:40,--,--,T2,23:10,--,2018-10-11,
MF1812,厦门航空,21:40,--,--,T2,23:10,--,2018-10-11,
CA1608,中国国航,21:50,--,--,T3,23:25,--,2018-10-11,
G54078,华夏航空,21:50,--,--,T3,23:25,--,2018-10-11,
ZH1608,深圳航空,21:50,--,--,T3,23:25,--,2018-10-11,
NZ3936,新西兰航空,21:50,--,--,T3,23:25,--,2018-10-11,
MU2311,东方航空,22:50,--,--,T2,00:25,--,2018-10-11,
CZ6123,南方航空,23:00,--,--,T2,00:30,--,2018-10-11,
MF4294,厦门航空,23:00,--,--,T2,00:30,--,2018-10-11,
